State,Id,type,value,stdev,lb,ub
metabolite,BPG,fixed,100,1,0,300
metabolite,PGA,fixed,100,1,0,300
metabolite,PEP,fixed,100,1,0,300
metabolite,PYR,fixed,100,1,0,300
metabolite,LAC,fixed,100,1,0,300
metabolite,OAA,fixed,100,1,0,300
metabolite,MAL,fixed,100,1,0,300
metabolite,m6PG,fixed,100,1,0,300
metabolite,Ru5P,fixed,100,1,0,300
metabolite,R5P,fixed,100,1,0,300
metabolite,X5P,fixed,100,1,0,300
metabolite,S7P,fixed,100,1,0,300
metabolite,SBP,fixed,100,1,0,300
metabolite,E4P,fixed,100,1,0,300
metabolite,AcCoA,fixed,100,1,0,300
metabolite,CitICit,fixed,100,1,0,300
metabolite,OGA,fixed,100,1,0,300
metabolite,SuccCoA,fixed,100,1,0,300
metabolite,Succ,fixed,100,1,0,300
metabolite,Fum,fixed,100,1,0,300
metabolite,GluIN,fixed,100,1,0,300
metabolite,Glu,fixed,100,1,0,300
metabolite,Ala,fixed,100,1,0,300
metabolite,GlnIN,fixed,100,1,0,300
metabolite,Gln,fixed,100,1,0,300
metabolite,AcCoAcyt,fixed,100,1,0,300
metabolite,ACIN,fixed,100,1,0,300
metabolite,OAAIN,fixed,100,1,0,300
reversible,hk,free,1.000008158,1,0,300
reversible,pgi,free,0.940762518,1,0,300
reversible,pfk,free,8.348172431,1,0,300
reversible,fba,free,8.362856586,1,0,300
reversible,tpi,free,6.453676358,1,0,300
reversible,gapd,free,1.885308091,1,0,300
reversible,pgk,free,1.893829366,1,0,300
reversible,eno,free,1.88658878,1,0,300
reversible,pyk,free,2.158759035,1,0,300
reversible,ldh,free,0.921474195,1,0,300
reversible,ppck,free,0.207141797,1,0,300
reversible,me,free,4.615234969,1,0,300
reversible,pc,free,5.251074043,1,0,300
reversible,g6pdh,free,0.013033512,1,0,300
reversible,gnd,free,0.439784525,1,0,300
reversible,rpi,free,0.263306191,1,0,300
reversible,rpe,free,0.803738198,1,0,300
reversible,tkt2,free,0.010235424,1,0,300
reversible,tkt1,free,0.004023485,1,0,300
reversible,tal,free,7.408053567,1,0,300
reversible,SBA,free,7.414624846,1,0,300
reversible,SBPase,free,7.403023341,1,0,300
reversible,pdh,free,1.2852E-07,1,0,300
reversible,cs,free,0.228224054,1,0,300
reversible,acitl,free,0.160677072,1,0,300
reversible,icdh,free,1.641176109,1,0,300
reversible,akgdh,free,0.856428305,1,0,300
reversible,sucoas,free,5.930865381,1,0,300
reversible,sucd,free,0.916554876,1,0,300
reversible,fum,free,1.451115588,1,0,300
reversible,mdh,free,0.009850291,1,0,300
reversible,PYRAla,free,0.581663169,1,0,300
reversible,OGAGlu,free,0.002810594,1,0,300
reversible,OGAGln,free,0.069444681,1,0,300
